,jobtitle,employer,location,seniorityLevel,employmentType,jobFunction,industry,salaryRange,jobStatus,description
0,Senior Statistical Modeller (Data Scientist),Lowell,"Leeds, England, United Kingdom",Associate,Full-time,"Engineering , Information Technology","Information Technology and Services, Computer Software, and Financial Services",,Open,"['lowellas', 'one', 'europe', 'leading', 'respected', 'credit', 'management', 'companies', 'believe', 'importance', 'good', 'relationships', 'whether', 'customers', 'want', 'listen', 'understand', 'customers', 'judge', 'find', 'affordable', 'fair', 'ways', 'help', 'pay', 'debts', 'fairness', 'runs', 'everything', 'believe', 'greatest', 'assets', 'people', 'keen', 'develop', 'teams', 'want', 'make', 'descriptionlocation', 'uk', 'wide', 'based', 'leeds', 'need', 'lowell', 'may', 'know', 'us', 'reputation', 'growing', 'believe', 'becoming', 'debt', 'free', 'simple', 'affordable', 'everyone', 'every', 'year', 'help', 'thousands', 'people', 'take', 'control', 'buy', 'debts', 'lots', 'different', 'companies', 'kinds', 'sectors', 'mission', 'help', 'customers', 'path', 'becoming', 'debt', 'free', 'real', 'focus', 'helping', 'customers', 'pay', 'debts', 'practical', 'affordable', 'ways', 'honestly', 'ethically', 'treating', 'customers', 'dignity', 'us', 'let', 'talk', 'role', 'deliver', 'statistical', 'machine', 'learning', 'models', 'uk', 'business', 'including', 'operations', 'pricing', 'investments', 'finance', 'role', 'llbuild', 'enhance', 'maintain', 'predictive', 'models', 'using', 'appropriate', 'statistical', 'machine', 'learning', 'methodologiesdevelop', 'comprehensive', 'understanding', 'lowell', 'core', 'business', 'model', 'identify', 'opportunities', 'drive', 'significant', 'value', 'analytic', 'interventionaddress', 'broad', 'array', 'general', 'business', 'questions', 'data', 'logical', 'inference', 'provide', 'ad', 'hoc', 'analytic', 'support', 'operational', 'projects', 'initiativestranslate', 'unstructured', 'business', 'problems', 'tractable', 'modelling', 'projectshow', 'say', 'thank', 'benefitsso', 'lowell', 'range', 'benefits', 'includean', 'exciting', 'career', 'much', 'salary', 'also', 'understand', 'everyone', 'regardless', 'culture', 'gender', 'identity', 'religion', 'ethnicity', 'age', 'neurodiversity', 'disability', 'status', 'contribute', 'goal', 'make', 'credit', 'work', 'better', 'strength', 'discretionary', 'annual', 'bonus', 'job', 'well', 'assurance', 'private', 'medical', 'assurance', 'group', 'income', 'fantastic', 'culture', 'little', 'perks', 'along', 'way', 'including', 'flexible', 'working', 'family', 'leave', 'recognition', 'support', 'including', 'thrive', 'sessions', 'trained', 'support', 'officers', 'regular', 'webinars', 'classes', 'geared', 'towards', 'order', 'make', 'grade', 'havedirect', 'experience', 'building', 'variety', 'statistical', 'modelsdemonstrated', 'competency', 'one', 'logistic', 'regression', 'generalised', 'linear', 'models', 'categorical', 'data', 'analysisdemonstrated', 'competency', 'one', 'machine', 'learning', 'methods', 'neural', 'network', 'clustering', 'experience', 'using', 'structured', 'programming', 'languages', 'statistical', 'numeric', 'computing', 'looking', 'experience', 'sql', 'along', 'one', 'programming', 'languages', 'python', 'r', 'scala', 'cloud', 'jupyter', 'care', 'customers', 'care', 'colleagues', 'lowell', 'accept', 'celebrate', 'support', 'thrive', 'benefit', 'employees', 'customers', 'community', 'proud', 'equal', 'opportunity', 'workplace', 'know', 'inclusive', 'better', 'work', 'lookout', 'really', 'want', 'make', 'difference', 'people', 'want', 'help', 'customers', 'turn', 'finances', 'around', 'people', 'like', 'take', 'next', 'step', 'apply']"
1,Software Developer (Entry-Mid level),networx | Recruitment Software & Services,"Otley, England, United Kingdom",Mid-Senior level,Full-time,"Information Technology , Business Development",Staffing and Recruiting and Information Technology and Services,,No longer accepting applications,"['developer', 'level', 'otley', 'leeds', 'west', 'yorkshirecompetitivethis', 'exciting', 'opportunity', 'enthusiastic', 'software', 'developer', 'become', 'key', 'member', 'fast', 'moving', 'software', 'development', 'team', 'looking', 'career', 'software', 'development', 'prior', 'experience', 'necessary', 'training', 'provided', 'required', 'developed', 'using', 'latest', 'code', 'technologies', 'provide', 'industry', 'leading', 'recruitment', 'software', 'services', 'customers', 'responsible', 'helping', 'us', 'develop', 'part', 'development', 'team', 'get', 'exposure', 'full', 'technology', 'stack', 'including', 'latest', 'code', 'technologies', 'working', 'fast', 'moving', 'environment', 'two', 'days', 'ideal', 'opportunity', 'someone', 'good', 'programming', 'skills', 'wants', 'kick', 'start', 'career', 'software', 'development', 'involved', 'full', 'software', 'development', 'life', 'cycle', 'develop', 'features', 'development', 'team', 'day', 'day', 'developing', 'enhancements', 'existing', 'software', 'featuresworking', 'development', 'specifications', 'key', 'stakeholders', 'develop', 'new', 'featurestaking', 'part', 'daily', 'scrum', 'meetingsresearching', 'developing', 'new', 'technologieswhat', 'looking', 'looking', 'ambition', 'self', 'learn', 'evolve', 'technical', 'skills', 'able', 'adjust', 'quickly', 'changing', 'priorities', 'help', 'resolve', 'complex', 'problems', 'give', 'time', 'develop', 'skills', 'ask', 'willingness', 'passion', 'drive', 'learn', 'essential', 'skills', 'vb', 'c', 'mvc', 'web', 'application', 'developmenthtml', 'css', 'javascript', 'jquerya', 'drive', 'passion', 'good', 'understanding', 'technologyoutstanding', 'analytical', 'problem', 'solvingdesirable', 'skills', 'microservicesazure', 'devopsgitsql', 'serverbenefits', 'competitive', 'salaryon', 'job', 'trainingfriendly', 'supportive', 'environmentpersonal', 'development', 'timefree', 'parkingcompany', 'pension', 'scheme', 'days', 'holiday', 'gym', 'membership', 'discount', 'cycle', 'scheme', 'working', 'hours', 'per', 'week', 'remote', 'working', 'offer', 'encourage', 'house', 'career', 'progression', 'wider', 'development', 'team', 'right', 'passion', 'initiative', 'progress', 'career', 'within', 'business', 'supportive', 'progressive', 'team', 'companysince', 'establishment', 'networx', 'forefront', 'recruitment', 'recognized', 'market', 'leaders', 'providing', 'latest', 'recruitment', 'software', 'ats', 'agency', 'style', 'recruitment', 'service', 'supports', 'companies', 'across', 'uk', 'reduce', 'costs', 'improve', 'efficiency', 'recruitment', 'wealth', 'flexibility', 'advanced', 'level', 'functionality', 'choose', 'recruitment', 'software', 'configured', 'reflect', 'needs', 'organization', 'regardless', 'size', 'recruitment', 'process']"
2,Data Scientist,TransUnion,"Leeds, England, United Kingdom",Not Applicable,Full-time,"Engineering , Information Technology","Financial Services, Information Services, and Information Technology and Services",,Open,"['transunionwhat', 'bring', 'transunion', 'uk', 'provides', 'data', 'analytics', 'software', 'enable', 'businesses', 'build', 'valuable', 'customer', 'specialise', 'managing', 'consumer', 'data', 'businesses', 'across', 'every', 'sector', 'focus', 'developing', 'innovative', 'products', 'services', 'help', 'businesses', 'make', 'smarter', 'informed', 'decisions', 'throughout', 'customer', 'transunion', 'believe', 'information', 'rolewhat', 'bring', 'role', 'apply', 'data', 'science', 'skills', 'deliver', 'new', 'products', 'services', 'enhance', 'existing', 'propositions', 'conduct', 'fundamental', 'r', 'new', 'approaches', 'provide', 'clients', 'best', 'class', 'solutions', 'ensuring', 'tu', 'business', 'remains', 'forefront', 'credit', 'industry', 'key', 'applications', 'include', 'fraud', 'detection', 'decisioning', 'credit', 'risk', 'affordability', 'decisioning', 'responsibilitiesyou', 'partner', 'internal', 'external', 'teams', 'drive', 'new', 'business', 'initiatives', 'deliver', 'long', 'term', 'solutions', 'various', 'transunion', 'customers', 'tasks', 'include', 'development', 'predictive', 'models', 'business', 'intelligence', 'solutions', 'high', 'complexity', 'customers', 'within', 'various', 'industries', 'served', 'lead', 'client', 'product', 'development', 'engagements', 'dsa', 'involving', 'descriptive', 'predictive', 'prescriptive', 'aspects', 'variety', 'business', 'use', 'cases', 'leveraging', 'multiple', 'data', 'science', 'techniques', 'project', 'leader', 'take', 'ownership', 'aspects', 'project', 'design', 'including', 'helping', 'articulate', 'shape', 'client', 'needs', 'may', 'first', 'clearly', 'defined', 'development', 'peer', 'review', 'client', 'presentation', 'implementation', 'design', 'write', 'programs', 'data', 'extraction', 'segmentation', 'statistical', 'ml', 'ai', 'analysis', 'large', 'population', 'datasets', 'using', 'languages', 'r', 'python', 'applicable', 'work', 'develop', 'programs', 'libraries', 'workflows', 'shared', 'across', 'tu', 'dsa', 'organization', 'benefit', 'identify', 'strategies', 'opportunities', 'customers', 'test', 'adopt', 'transunion', 'data', 'science', 'capabilities', 'develop', 'project', 'proposals', 'sales', 'presentations', 'promotional', 'collateral', 'enable', 'adoption', 'integrated', 'customer', 'solutions', 'applying', 'practical', 'analytic', 'experience', 'find', 'areas', 'new', 'value', 'context', 'opportunities', 'interact', 'directly', 'transunion', 'sales', 'business', 'unit', 'partners', 'provide', 'data', 'science', 'perspective', 'deliver', 'data', 'science', 'driven', 'insights', 'recommendations', 'succinct', 'compelling', 'presentations', 'internal', 'external', 'customers', 'representing', 'wide', 'range', 'backgrounds', 'levels', 'including', 'executive', 'provide', 'mentorship', 'training', 'junior', 'colleagues', 'maintain', 'progress', 'initiatives', 'make', 'significant', 'contributions', 'tu', 'dsa', 'foster', 'culture', 'cultivate', 'environment', 'promotes', 'excellence', 'reflects', 'transunion', 'makeskills', 'experience', 'master', 'phd', 'degree', 'statistics', 'applied', 'mathematics', 'financial', 'mathematics', 'engineering', 'operations', 'research', 'another', 'highly', 'quantitative', 'field', 'consistent', 'track', 'record', 'academic', 'experience', 'performing', 'data', 'science', 'within', 'financial', 'services', 'related', 'industries', 'fraud', 'identity', 'professional', 'expertise', 'one', 'areas', 'technical', 'disciplines', 'would', 'complement', 'significantly', 'enhance', 'transunion', 'existing', 'data', 'science', 'capabilities', 'consistent', 'record', 'applying', 'expertise', 'achieve', 'positive', 'outcomes', 'drive', 'share', 'colleagues', 'business', 'analytical', 'critical', 'thinking', 'creative', 'programming', 'skills', 'mastery', 'r', 'python', 'experience', 'programming', 'data', 'manipulation', 'languages', 'sql', 'java', 'proficiency', 'linux', 'microsoft', 'office', 'predictive', 'modelling', 'machine', 'learning', 'ml', 'artificial', 'intelligence', 'ai', 'knowledge', 'experience', 'dimension', 'reduction', 'feature', 'generation', 'engineering', 'outlier', 'detection', 'statistical', 'techniques', 'supervised', 'learning', 'ensemble', 'modelling', 'neural', 'networks', 'deep', 'learning', 'motivation', 'continued', 'professional', 'development', 'keeping', 'abreast', 'latest', 'data', 'science', 'ml', 'ai', 'research', 'techniques', 'alongside', 'applications', 'within', 'industries', 'served', 'transunion', 'financial', 'services', 'insurance', 'fraud', 'interpersonal', 'communication', 'style', 'including', 'presenting', 'compelling', 'visualizations', 'ability', 'effectively', 'influence', 'multiple', 'levels', 'within', 'outside', 'project', 'time', 'management', 'skills', 'managing', 'effectively', 'multiple', 'assignments', 'within', 'complex', 'dynamic', 'environment', 'evidence', 'participate', 'consulting', 'work', 'tu', 'innovation', 'labs', 'developing', 'understanding', 'capabilities', 'appropriate', 'ml', 'ai', 'approaches', 'solve', 'key', 'business', 'challenges', 'include', 'travel', 'transunion', 'joining', 'friendly', 'forward', 'thinking', 'global', 'well', 'competitive', 'salary', 'benefits', 'package', 'includes', 'days', 'annual', 'leave', 'plus', 'bank', 'holidays', 'generous', 'contributory', 'pension', 'scheme', 'private', 'health', 'care', 'host', 'employee', 'lifestyle', 'take', 'corporate', 'social', 'responsibility', 'seriously', 'tu', 'good', 'works', 'scheme', 'supports', 'communities', 'around', 'world', 'advancing', 'financial', 'inclusion', 'interview', 'hiring', 'processprotecting', 'health', 'wellness', 'colleagues', 'candidates', 'considering', 'career', 'transunion', 'highest', 'priority', 'recruitment', 'experience', 'role', 'fully', 'virtual', 'time', 'candidates', 'interviewing', 'get', 'know', 'team', 'phone', 'video', 'role', 'operate', 'virtually', 'upon', 'hire', 'return', 'office', 'even', 'though', 'physically', 'together', 'right', 'goal', 'provide', 'supportive', 'candidate', 'experience', 'immerse', 'culture', 'set', 'success', 'transuniontransunion', 'job', 'titleadvisor', 'data', 'science', 'analytics']"
3,Data Scientist,Corecom Consulting,"Leeds, England, United Kingdom",Mid-Senior level,Full-time,Information Technology,Information Technology and Services,,No longer accepting applications,"['data', 'scientists', 'leeds', 'doe', 'remote', 'flexible', 'working', 'bonus', 'generous', 'holidays', 'plus', 'data', 'scientist', 'focused', 'adding', 'instant', 'value', 'businesses', 'driven', 'working', 'project', 'focused', 'environment', 'corecom', 'consulting', 'partnered', 'leading', 'data', 'science', 'company', 'going', 'exponential', 'growth', 'due', 'appetite', 'client', 'base', 'includes', 'sme', 'blue', 'chips', 'business', 'run', 'data', 'analytics', 'focused', 'directors', 'excellent', 'pedigree', 'respective', 'fields', 'meaning', 'scope', 'learn', 'best', 'available', 'daily', 'basis', 'offices', 'based', 'leeds', 'scope', 'work', 'remotely', 'whilst', 'open', 'flexible', 'working', 'would', 'require', 'someone', 'relatively', 'local', 'require', 'come', 'office', 'basis', 'restrictions', 'days', 'holiday', 'plus', 'annual', 'leaveappraisal', 'based', 'annual', 'salary', 'reviewsexcellent', 'training', 'opportunitiescareer', 'progression', 'opportunitiespensionflexible', 'working', 'environment', 'office', 'based', 'home', 'working', 'need', 'youpythonsqlexperience', 'building', 'models', 'understand', 'customer', 'behaviourexperience', 'building', 'regression', 'modelsexperience', 'building', 'clustering', 'modelsfactor', 'analysis', 'experiencethey', 'invested', 'heavily', 'bi', 'analytics', 'team', 'past', 'year', 'seeking', 'data', 'scientists', 'add', 'value', 'client', 'base', 'data', 'team', 'focused', 'working', 'client', 'accounts', 'ultimately', 'help', 'increase', 'data', 'capabilities', 'resulting', 'roi', 'would', 'predominantly', 'working', 'new', 'business', 'accounts', 'therefore', 'plenty', 'exposure', 'project', 'focused', 'work', 'thus', 'new', 'technology', 'techniques', 'hiring', 'manager', 'keen', 'review', 'cvs', 'tuesday', 'august', 'please', 'apply', 'soon', 'possible', 'avoid', 'disappointment', 'data', 'scientists', 'leeds', 'doe', 'remote', 'flexible', 'working', 'bonus', 'generous', 'holidays', 'plus', 'corecom', 'accept', 'differences', 'celebrate', 'thrive', 'benefit', 'employees', 'clients', 'candidates', 'internally', 'thrive', 'differences', 'want', 'employees', 'proud', 'proud', 'corecom', 'externally', 'utilise', 'differences', 'help', 'clients', 'candidates', 'strive', 'diverse', 'inclusive', 'world']"
4,Software Developer 3,Oracle,"Leeds, England, United Kingdom",Associate,Full-time,"Engineering , Information Technology","Information Technology and Services, Computer Software, and Financial Services",,Open,"['descriptionoracle', 'secure', 'global', 'desktop', 'team', 'designs', 'develops', 'sustains', 'scalable', 'distributed', 'product', 'provides', 'secure', 'remote', 'access', 'applications', 'desktops', 'hiring', 'high', 'software', 'engineer', 'work', 'cloud', 'role', 'product', 'developer', 'offers', 'unparalleled', 'opportunities', 'work', 'broad', 'range', 'technologies', 'programming', 'system', 'integration', 'wide', 'variety', 'platforms', 'software', 'working', 'used', 'major', 'global', 'enterprises', 'strong', 'emphasis', 'experienced', 'engineers', 'contribute', 'specification', 'design', 'new', 'product', 'features', 'responsible', 'implementation', 'testing', 'using', 'agile', 'techniques', 'regularly', 'deliver', 'incremental', 'enhancements', 'product', 'cloud', 'customers', 'work', 'varied', 'ranging', 'services', 'running', 'virtualized', 'servers', 'desktops', 'mobile', 'devices', 'core', 'software', 'development', 'position', 'expected', 'demonstrate', 'strong', 'understanding', 'computer', 'systems', 'programming', 'building', 'software', 'collaboration', 'essential', 'skill', 'actively', 'participate', 'design', 'discussions', 'code', 'reviews', 'development', 'team', 'based', 'leeds', 'uk', 'remote', 'workers', 'applications', 'candidates', 'wishing', 'work', 'remotely', 'haverequirements', 'graduate', 'qualification', 'computer', 'science', 'closely', 'related', 'years', 'experience', 'commercial', 'software', 'developmentunderstanding', 'appreciation', 'software', 'structure', 'strong', 'design', 'aestheticstrong', 'skills', 'java', 'javascript', 'python', 'web', 'technologiesdevops', 'skills', 'git', 'jenkins', 'ansible', 'kubernetesthe', 'desire', 'ability', 'learn', 'technologies', 'quicklyknowledge', 'http', 'web', 'socket', 'networking', 'protocolsstrong', 'analytical', 'debugging', 'skills', 'attention', 'detaila', 'consistent', 'methodical', 'approach', 'solving', 'problemsgood', 'verbal', 'written', 'communication', 'skills', 'englishflexibility', 'enthusiasm', 'drive', 'desire', 'ability', 'learn', 'quicklythe', 'confidence', 'work', 'independently', 'comfortable', 'working', 'teamknowledge', 'interest', 'following', 'would', 'advantageous', 'skills', 'cloud', 'programming', 'experienceexperience', 'developing', 'products', 'using', 'security', 'authentication', 'protocols', 'like', 'tls', 'ssh', 'samlagile', 'development', 'methodologies', 'scrum', 'developmentmodern', 'development', 'toolsdesign', 'develop', 'troubleshoot', 'debug', 'software', 'programs', 'databases', 'applications', 'tools', 'networks', 'member', 'software', 'engineering', 'division', 'assist', 'defining', 'developing', 'software', 'tasks', 'associated', 'developing', 'debugging', 'designing', 'software', 'applications', 'operating', 'systems', 'provide', 'technical', 'leadership', 'software', 'developers', 'specify', 'design', 'implement', 'modest', 'changes', 'existing', 'software', 'architecture', 'meet', 'changing', 'tasks', 'varied', 'complex', 'needing', 'independent', 'judgment', 'fully', 'competent', 'area', 'expertise', 'may', 'project', 'lead', 'role', 'supervise', 'lower', 'level', 'personnel', 'bs', 'ms', 'degree', 'equivalent', 'experience', 'relevant', 'functional', 'area', 'years', 'software', 'engineering', 'related', 'usinnovation', 'starts', 'inclusion', 'oracle', 'committed', 'creating', 'workplace', 'kinds', 'people', 'best', 'work', 'everyone', 'voice', 'heard', 'valued', 'inspired', 'go', 'beyond', 'done', 'need', 'people', 'diverse', 'backgrounds', 'beliefs', 'abilities', 'help', 'us', 'create', 'future', 'proud', 'equal', 'opportunity', 'equal', 'employment', 'opportunity', 'employer', 'qualified', 'applicants', 'receive', 'consideration', 'employment', 'without', 'regard', 'race', 'color', 'religion', 'sex', 'national', 'origin', 'sexual', 'orientation', 'gender', 'identity', 'disability', 'protected', 'veterans', 'status', 'age', 'characteristic', 'protected', 'law', 'oracle', 'consider', 'employment', 'qualified', 'applicants', 'arrest', 'conviction', 'records', 'pursuant', 'applicable', 'law']"
5,Software Developer 3,Oracle,"Leeds, England, United Kingdom",Associate,Full-time,"Engineering , Information Technology","Information Technology and Services, Computer Software, and Financial Services",,Open,"['descriptionthe', 'role', 'engineer', 'skills', 'experience', 'web', 'development', 'associated', 'technologies', 'working', 'experienced', 'engineers', 'contribute', 'specification', 'design', 'new', 'components', 'standalone', 'plugins', 'within', 'larger', 'frameworks', 'key', 'member', 'team', 'implementing', 'testing', 'components', 'using', 'agile', 'techniques', 'regularly', 'deliver', 'incremental', 'enhancements', 'product', 'cloud', 'customers', 'work', 'varied', 'ranging', 'services', 'running', 'virtualized', 'servers', 'desktops', 'mobile', 'devices', 'core', 'software', 'development', 'position', 'expected', 'demonstrate', 'strong', 'understanding', 'computer', 'systems', 'programming', 'building', 'software', 'collaboration', 'essential', 'skill', 'actively', 'participate', 'design', 'discussions', 'code', 'reviews', 'colleagues', 'opportunities', 'expand', 'skills', 'parts', 'product', 'appreciation', 'software', 'structure', 'strong', 'design', 'aestheticexperience', 'frameworks', 'like', 'react', 'oracle', 'jet', 'jquerystrong', 'skills', 'html', 'javascript', 'python', 'web', 'technologiesknowledge', 'http', 'web', 'socket', 'networking', 'protocolsexperience', 'creating', 'using', 'services', 'restful', 'apisstrong', 'analytical', 'debugging', 'skills', 'attention', 'detaila', 'consistent', 'methodical', 'approach', 'solving', 'problemsgood', 'verbal', 'written', 'communication', 'skills', 'englishflexibility', 'enthusiasm', 'drive', 'desire', 'ability', 'learn', 'quicklythe', 'confidence', 'work', 'independently', 'comfortable', 'working', 'teamdesign', 'develop', 'troubleshoot', 'debug', 'software', 'programs', 'databases', 'applications', 'tools', 'networks', 'member', 'software', 'engineering', 'division', 'assist', 'defining', 'developing', 'software', 'tasks', 'associated', 'developing', 'debugging', 'designing', 'software', 'applications', 'operating', 'systems', 'provide', 'technical', 'leadership', 'software', 'developers', 'specify', 'design', 'implement', 'modest', 'changes', 'existing', 'software', 'architecture', 'meet', 'changing', 'tasks', 'varied', 'complex', 'needing', 'independent', 'judgment', 'fully', 'competent', 'area', 'expertise', 'may', 'project', 'lead', 'role', 'supervise', 'lower', 'level', 'personnel', 'bs', 'ms', 'degree', 'equivalent', 'experience', 'relevant', 'functional', 'area', 'years', 'software', 'engineering', 'related', 'usinnovation', 'starts', 'inclusion', 'oracle', 'committed', 'creating', 'workplace', 'kinds', 'people', 'best', 'work', 'everyone', 'voice', 'heard', 'valued', 'inspired', 'go', 'beyond', 'done', 'need', 'people', 'diverse', 'backgrounds', 'beliefs', 'abilities', 'help', 'us', 'create', 'future', 'proud', 'equal', 'opportunity', 'equal', 'employment', 'opportunity', 'employer', 'qualified', 'applicants', 'receive', 'consideration', 'employment', 'without', 'regard', 'race', 'color', 'religion', 'sex', 'national', 'origin', 'sexual', 'orientation', 'gender', 'identity', 'disability', 'protected', 'veterans', 'status', 'age', 'characteristic', 'protected', 'law', 'oracle', 'consider', 'employment', 'qualified', 'applicants', 'arrest', 'conviction', 'records', 'pursuant', 'applicable', 'law']"
6,Software Developer,Morrisons,"Bradford, England, United Kingdom",Associate,Full-time,"Engineering , Information Technology","Food & Beverages, Food Production, and Retail",,Open,"['roleare', 'curious', 'pragmatic', 'developer', 'passion', 'solving', 'real', 'world', 'problems', 'love', 'speak', 'looking', 'two', 'experienced', 'full', 'stack', 'developers', 'join', 'growing', 'development', 'teams', 'morrisons', 'rapidly', 'transforming', 'technology', 'driven', 'supermarket', 'rapidly', 'developing', 'solutions', 'challenges', 'face', 'every', 'day', 'customer', 'colleagues', 'got', 'track', 'record', 'working', 'organisations', 'solve', 'problems', 'scale', 'broad', 'range', 'programming', 'skills', 'morrisons', 'offer', 'fantastic', 'platform', 'experience', 'fast', 'paced', 'ever', 'changing', 'environment', 'deliver', 'pace', 'also', 'expand', 'got', 'desire', 'pursue', 'react', 'native', 'mobile', 'applications', 'keen', 'interest', 'api', 'services', 'adaptable', 'resilient', 'got', 'place', 'also', 'responsible', 'forutilising', 'full', 'stack', 'engineering', 'experience', 'help', 'us', 'solve', 'real', 'world', 'key', 'member', 'internal', 'development', 'community', 'mentoring', 'junior', 'engaging', 'third', 'party', 'suppliers', 'internally', 'maintaining', 'strong', 'working', 'relationships', 'technology', 'business', 'facing', 'youyou', 'ideally', 'following', 'experience', 'demonstrable', 'track', 'record', 'acting', 'full', 'stack', 'engineer', 'within', 'large', 'enterprise', 'scale', 'management', 'influencing', 'proficiency', 'number', 'programming', 'languages', 'companyproud', 'roots', 'morrisons', 'leading', 'yorkshire', 'food', 'retailer', 'serving', 'million', 'customers', 'across', 'stores', 'week', 'also', 'uk', 'second', 'largest', 'food', 'manufacturer', 'together', 'make', 'millions', 'products', 'year', 'manufacturing', 'sites', 'allowing', 'us', 'focus', 'customers', 'want', 'good', 'quality', 'fresh', 'food', 'great', 'people', 'make', 'morrisons', 'passionate', 'recognising', 'diverse', 'talent', 'building', 'careers', 'people', 'stay', 'one', 'step', 'ahead', 'industry', 'giving', 'us', 'exposure', 'creative', 'initiatives', 'improve', 'offering', 'return', 'looking', 'customers', 'look', 'people', 'great', 'perks', 'lots', 'career', 'opportunities', 'training', 'support', 'everyone', 'needs', 'best', 'pride', 'diverse', 'inclusive', 'business', 'committed', 'making', 'morrisons', 'brilliant', 'place', 'work', 'harbouring', 'environment', 'people', 'colleagues', 'respect', 'dignity', 'morrisons', 'way', 'celebrate', 'individuality', 'love', 'different', 'perspectives', 'bring', 'table', 'ways', 'workingthe', 'wellbeing', 'colleagues', 'really', 'important', 'us', 'want', 'everyone', 'great', 'home', 'work', 'life', 'balance', 'introduced', 'four', 'day', 'working', 'week', 'full', 'time', 'colleagues', 'based', 'head', 'office', 'able', 'flex', 'working', 'hours', 'around', 'core', 'hours', 'choose', 'different', 'hours', 'day', 'long', 'covering', 'core', 'hours', 'four', 'day', 'week', 'contain', 'four', 'average', 'nine', 'hour', 'competitive', 'support', 'stores', 'sites', 'effectively', 'work', 'six', 'day', 'operation', 'monday', 'saturday', 'inclusive', 'everyone', 'head', 'office', 'works', 'one', 'saturday', 'every', 'four', 'year', 'albeit', 'saturday', 'shorter', 'working', 'day', 'day', 'need', 'fit', 'business', 'needs', 'information', 'day', 'take', 'discussed', 'interview']"
